28
54,237,64,234,74,232,85,230,95,227,105,225,116,223,136,253,126,255,116,257,106,259,96,261,86,263,76,266,"A"
139,215,152,212,166,209,180,206,194,203,208,200,222,197,243,225,229,228,215,231,202,234,188,237,174,240,161,244,"lot"
249,190,257,188,266,186,274,185,283,183,291,181,300,180,320,206,312,208,304,210,296,212,288,214,280,216,272,218,"of"
79,275,141,259,204,243,267,227,330,211,393,195,456,179,480,211,416,226,353,242,289,258,226,274,162,290,99,306,"transportation"
101,314,111,311,121,309,131,306,141,304,151,301,162,299,185,330,175,333,165,336,156,339,146,342,136,345,127,348,"is"
193,286,225,278,257,270,289,262,321,254,353,246,385,239,408,268,375,276,343,285,311,294,279,302,247,311,215,320,"powered"
413,233,421,230,429,228,437,226,445,224,453,222,462,220,487,250,478,252,469,254,461,257,452,259,443,261,435,264,"by"
130,355,139,352,149,349,159,346,169,343,179,340,189,337,213,370,203,372,194,375,184,378,175,381,165,384,156,387,"an"
221,327,252,318,284,310,316,301,348,293,380,284,412,276,433,309,401,317,370,326,339,335,307,343,276,352,245,361,"engine"
442,267,458,262,475,258,492,254,509,250,526,246,543,242,566,272,549,276,533,280,516,285,500,289,483,293,467,298,"from"
161,397,190,388,219,380,249,371,278,363,307,354,337,346,360,378,330,386,301,395,272,404,243,412,214,421,185,430,"planes"
370,337,378,334,386,331,395,329,403,326,411,323,420,321,442,356,433,358,425,360,417,362,408,364,400,366,392,369,"to"
188,442,227,429,266,417,305,405,344,392,383,380,423,368,446,401,407,413,368,425,329,438,290,450,251,462,213,475,"tractors"
428,367,441,363,454,359,468,356,481,352,494,348,508,345,532,377,518,380,505,384,491,388,478,391,464,395,451,399,"..."
500,128,512,124,524,121,536,118,548,115,560,112,573,109,598,137,586,140,574,143,563,146,551,149,539,152,528,156,"..."
594,101,605,98,616,96,627,93,638,91,649,88,660,86,683,111,672,113,661,116,650,119,639,122,628,125,618,128,"but"
684,78,700,73,717,68,734,63,750,58,767,53,784,49,812,76,794,80,777,85,760,89,742,94,725,98,708,103,"bikes"
532,161,543,157,555,154,567,151,579,148,591,145,603,142,627,168,615,171,604,174,592,177,581,180,569,183,558,186,"are"
627,133,652,125,678,118,704,111,730,104,756,97,782,90,805,114,779,121,753,129,728,137,702,145,676,153,651,161,""people"
563,194,594,184,626,175,657,166,689,156,720,147,752,138,776,165,744,174,713,184,682,194,651,203,620,213,589,223,"powered""
770,133,780,130,791,127,802,124,813,121,824,118,835,115,857,142,846,144,836,147,826,150,815,152,805,155,795,158,"and"
597,228,624,219,652,211,679,202,707,194,734,185,762,177,788,204,760,212,732,220,704,228,676,236,648,244,621,253,"gliders"
778,170,792,165,806,161,821,157,835,152,849,148,864,144,890,171,876,175,862,179,849,183,835,187,821,191,808,196,"rise"
632,262,640,259,648,256,656,254,664,251,672,248,681,246,704,276,696,278,688,280,681,283,673,285,665,287,658,290,"on"
703,237,732,227,762,218,791,209,821,200,850,191,880,182,907,209,876,218,846,228,816,238,786,247,756,257,726,267,"currents"
901,174,907,172,913,170,920,168,926,166,932,164,939,162,964,189,957,191,951,193,945,196,938,198,932,200,926,203,"of"
662,298,679,292,696,287,713,282,730,277,747,272,764,267,790,294,773,299,756,305,740,310,723,316,706,321,690,327,"warm"
785,258,800,253,815,248,831,243,846,238,861,233,877,229,903,256,887,261,872,266,856,271,841,276,825,281,810,287,"air."
