13
201,11,219,13,237,16,255,19,273,21,291,24,309,27,301,77,282,73,263,70,244,67,225,64,206,61,187,58,"spr"
362,21,380,22,399,24,418,26,437,28,456,30,475,32,469,87,449,85,430,83,411,81,392,79,373,77,354,76,"spr"
811,48,817,48,824,48,830,48,837,48,843,48,850,48,850,106,843,106,837,106,830,106,824,106,817,106,811,106,"v"
1007,20,1013,20,1020,20,1027,20,1033,20,1040,20,1047,20,1047,71,1040,71,1033,71,1027,71,1020,71,1013,71,1007,71,"k"
379,199,391,200,403,201,416,202,428,203,440,204,453,206,445,264,431,262,418,260,405,259,392,257,379,255,366,254,"st"
791,220,798,220,806,220,813,220,821,220,828,220,836,220,836,277,828,277,821,277,813,277,806,277,798,277,791,277,"w"
1006,189,1012,189,1018,189,1025,189,1031,189,1037,189,1044,189,1044,241,1037,241,1031,241,1025,241,1018,241,1012,241,1006,241,"w"
361,365,380,365,400,365,420,365,439,365,459,365,479,365,479,426,459,426,439,426,420,426,400,426,380,426,361,426,"str"
769,390,782,390,796,390,810,390,823,390,837,390,851,390,851,445,837,445,823,445,810,445,796,445,782,445,769,445,"wh"
20,579,32,577,44,575,57,574,69,572,81,570,94,569,92,631,80,632,68,633,57,635,45,636,33,637,22,639,"sk"
350,522,363,522,377,522,390,522,404,522,417,522,431,522,431,584,417,584,404,584,390,584,377,584,363,584,350,584,"sw"
771,557,784,557,798,557,811,557,825,557,838,557,852,557,852,614,838,614,825,614,811,614,798,614,784,614,771,614,"wr"
970,549,983,550,996,551,1010,552,1023,553,1036,554,1050,555,1048,610,1034,609,1021,608,1008,607,994,606,981,605,968,604,"wr"
