16
173,367,195,367,217,367,239,367,261,367,283,367,306,367,306,443,283,443,261,443,239,443,217,443,195,443,173,443,"ab"
413,370,461,370,509,370,558,370,606,370,654,370,703,370,703,453,654,453,606,453,558,453,509,453,461,453,413,453,"about"
925,382,953,382,981,382,1009,382,1037,382,1065,382,1093,382,1093,460,1065,460,1037,460,1009,460,981,460,953,460,925,460,"abv"
1200,384,1247,384,1295,384,1342,384,1390,384,1437,384,1485,384,1485,471,1437,471,1390,471,1342,471,1295,471,1247,471,1200,471,"above"
168,558,189,558,210,558,231,558,252,558,273,558,294,558,294,638,273,638,252,638,231,638,210,638,189,638,168,638,"ac"
402,565,489,565,577,565,664,565,752,565,839,565,927,565,927,647,839,647,752,647,664,647,577,647,489,647,402,647,"according"
1147,569,1175,569,1204,569,1233,569,1261,569,1290,569,1319,569,1319,656,1290,656,1261,656,1233,656,1204,656,1175,656,1147,656,"acr"
1430,574,1485,574,1540,574,1595,574,1650,574,1705,574,1760,574,1760,657,1705,657,1650,657,1595,657,1540,657,1485,657,1430,657,"across"
154,760,175,760,196,760,217,760,238,760,259,760,281,760,281,831,259,831,238,831,217,831,196,831,175,831,154,831,"af"
400,757,449,757,498,757,548,757,597,757,646,757,696,757,696,845,646,845,597,845,548,845,498,845,449,845,400,845,"after"
1152,760,1181,760,1210,760,1239,760,1268,760,1297,760,1327,760,1327,843,1297,843,1268,843,1239,843,1210,843,1181,843,1152,843,"afn"
1436,764,1515,764,1595,764,1675,764,1754,764,1834,764,1914,764,1914,847,1834,847,1754,847,1675,847,1595,847,1515,847,1436,847,"afternoon"
154,962,184,962,214,962,245,962,275,962,305,962,336,962,336,1042,305,1042,275,1042,245,1042,214,1042,184,1042,154,1042,"afw"
455,952,544,952,633,952,722,952,811,952,900,952,989,952,989,1042,900,1042,811,1042,722,1042,633,1042,544,1042,455,1042,"afterward"
1150,959,1170,959,1191,959,1211,959,1232,959,1252,959,1273,959,1273,1040,1252,1040,1232,1040,1211,1040,1191,1040,1170,1040,1150,1040,"ag"
1379,957,1426,957,1474,957,1521,957,1569,957,1616,957,1664,957,1664,1035,1616,1035,1569,1035,1521,1035,1474,1035,1426,1035,1379,1035,"again"
